"Utility_Bank";"Utility_Insurance";"Type";"Score"
"0.4158";"0.5676";"additiveScore";"0.4917"
"0.4158";"0.5676";"nashbargainScore";"0.23600808"
"0.4158";"0.5676";"rksScore";"0.7325581395348837"
"0.4158";"0.5577";"additiveScore";"0.48675"
"0.4158";"0.5577";"nashbargainScore";"0.23189166"
"0.4158";"0.5577";"rksScore";"0.7455621301775148"
"0.4158";"0.4884";"additiveScore";"0.4521"
"0.4158";"0.4884";"nashbargainScore";"0.20307672"
"0.4158";"0.4884";"rksScore";"0.8513513513513513"
"0.4158";"0.4488";"additiveScore";"0.4323"
"0.4158";"0.4488";"nashbargainScore";"0.18661103999999998"
"0.4158";"0.4488";"rksScore";"0.9264705882352942"
"0.4158";"0.4488";"additiveScore";"0.4323"
"0.4158";"0.4488";"nashbargainScore";"0.18661103999999998"
"0.4158";"0.4488";"rksScore";"0.9264705882352942"
"0.4158";"0.5676";"additiveScore";"0.4917"
"0.4158";"0.5676";"nashbargainScore";"0.23600808"
"0.4158";"0.5676";"rksScore";"0.7325581395348837"
"0.4158";"0.6501";"additiveScore";"0.53295"
"0.4158";"0.6501";"nashbargainScore";"0.27031158"
"0.4158";"0.6501";"rksScore";"0.6395939086294417"
"0.4158";"0.38280000000000003";"additiveScore";"0.3993"
"0.4158";"0.38280000000000003";"nashbargainScore";"0.15916824000000002"
"0.4158";"0.38280000000000003";"rksScore";"0.9206349206349207"
"0.4158";"0.40590000000000004";"additiveScore";"0.41085000000000005"
"0.4158";"0.40590000000000004";"nashbargainScore";"0.16877322000000003"
"0.4158";"0.40590000000000004";"rksScore";"0.9761904761904763"
"0.4158";"0.4554";"additiveScore";"0.4356"
"0.4158";"0.4554";"nashbargainScore";"0.18935532000000002"
"0.4158";"0.4554";"rksScore";"0.9130434782608695"
"0.4158";"0.5709";"additiveScore";"0.49334999999999996"
"0.4158";"0.5709";"nashbargainScore";"0.23738021999999998"
"0.4158";"0.5709";"rksScore";"0.7283236994219654"
"0.4158";"0.6237";"additiveScore";"0.51975"
"0.4158";"0.6237";"nashbargainScore";"0.25933446"
"0.4158";"0.6237";"rksScore";"0.6666666666666666"
"0.4158";"0.5379";"additiveScore";"0.47685"
"0.4158";"0.5379";"nashbargainScore";"0.22365882"
"0.4158";"0.5379";"rksScore";"0.7730061349693251"
"0.4158";"0.3366";"additiveScore";"0.3762"
"0.4158";"0.3366";"nashbargainScore";"0.13995828000000002"
"0.4158";"0.3366";"rksScore";"0.8095238095238095"
"0.4158";"0.38939999999999997";"additiveScore";"0.40259999999999996"
"0.4158";"0.38939999999999997";"nashbargainScore";"0.16191251999999998"
"0.4158";"0.38939999999999997";"rksScore";"0.9365079365079364"
"0.4158";"0.3729";"additiveScore";"0.39435"
"0.4158";"0.3729";"nashbargainScore";"0.15505182"
"0.4158";"0.3729";"rksScore";"0.8968253968253969"
"0.4158";"0.6039";"additiveScore";"0.50985"
"0.4158";"0.6039";"nashbargainScore";"0.25110162"
"0.4158";"0.6039";"rksScore";"0.6885245901639344"
"0.4158";"0.4719";"additiveScore";"0.44384999999999997"
"0.4158";"0.4719";"nashbargainScore";"0.19621602"
"0.4158";"0.4719";"rksScore";"0.8811188811188811"
"0.4158";"0.429";"additiveScore";"0.4224"
"0.4158";"0.429";"nashbargainScore";"0.1783782"
"0.4158";"0.429";"rksScore";"0.9692307692307692"
"0.4158";"0.3729";"additiveScore";"0.39435"
"0.4158";"0.3729";"nashbargainScore";"0.15505182"
"0.4158";"0.3729";"rksScore";"0.8968253968253969"
"0.4158";"0.42569999999999997";"additiveScore";"0.42074999999999996"
"0.4158";"0.42569999999999997";"nashbargainScore";"0.17700606"
"0.4158";"0.42569999999999997";"rksScore";"0.9767441860465117"
"0.4158";"0.4389";"additiveScore";"0.42735"
"0.4158";"0.4389";"nashbargainScore";"0.18249462"
"0.4158";"0.4389";"rksScore";"0.9473684210526315"
"0.4158";"0.5214";"additiveScore";"0.4686"
"0.4158";"0.5214";"nashbargainScore";"0.21679811999999998"
"0.4158";"0.5214";"rksScore";"0.7974683544303798"
"0.4158";"0.5346";"additiveScore";"0.47519999999999996"
"0.4158";"0.5346";"nashbargainScore";"0.22228668"
"0.4158";"0.5346";"rksScore";"0.7777777777777778"
"0.4158";"0.38939999999999997";"additiveScore";"0.40259999999999996"
"0.4158";"0.38939999999999997";"nashbargainScore";"0.16191251999999998"
"0.4158";"0.38939999999999997";"rksScore";"0.9365079365079364"
"0.4158";"0.627";"additiveScore";"0.5214"
"0.4158";"0.627";"nashbargainScore";"0.2607066"
"0.4158";"0.627";"rksScore";"0.6631578947368421"
"0.4158";"0.5181";"additiveScore";"0.46695"
"0.4158";"0.5181";"nashbargainScore";"0.21542598000000002"
"0.4158";"0.5181";"rksScore";"0.802547770700637"
"0.4158";"0.5577";"additiveScore";"0.48675"
"0.4158";"0.5577";"nashbargainScore";"0.23189166"
"0.4158";"0.5577";"rksScore";"0.7455621301775148"
"0.4158";"0.627";"additiveScore";"0.5214"
"0.4158";"0.627";"nashbargainScore";"0.2607066"
"0.4158";"0.627";"rksScore";"0.6631578947368421"
"0.4158";"0.5313";"additiveScore";"0.47355"
"0.4158";"0.5313";"nashbargainScore";"0.22091454"
"0.4158";"0.5313";"rksScore";"0.782608695652174"
"0.4158";"0.5775";"additiveScore";"0.49665000000000004"
"0.4158";"0.5775";"nashbargainScore";"0.24012450000000002"
"0.4158";"0.5775";"rksScore";"0.72"
"0.4158";"0.3564";"additiveScore";"0.3861"
"0.4158";"0.3564";"nashbargainScore";"0.14819112"
"0.4158";"0.3564";"rksScore";"0.8571428571428571"
