"Utility_Bank";"Utility_Insurance";"Type";"Score"
"0.462";"0.6963";"additiveScore";"0.57915"
"0.462";"0.6963";"nashbargainScore";"0.32169060000000005"
"0.462";"0.6963";"rksScore";"0.6635071090047393"
"0.462";"0.7359";"additiveScore";"0.59895"
"0.462";"0.7359";"nashbargainScore";"0.3399858"
"0.462";"0.7359";"rksScore";"0.6278026905829597"
"0.462";"0.5577000000000001";"additiveScore";"0.50985"
"0.462";"0.5577000000000001";"nashbargainScore";"0.25765740000000004"
"0.462";"0.5577000000000001";"rksScore";"0.8284023668639052"
"0.462";"0.7326";"additiveScore";"0.5973"
"0.462";"0.7326";"nashbargainScore";"0.3384612"
"0.462";"0.7326";"rksScore";"0.6306306306306306"
"0.462";"0.5544";"additiveScore";"0.5082"
"0.462";"0.5544";"nashbargainScore";"0.2561328"
"0.462";"0.5544";"rksScore";"0.8333333333333334"
"0.462";"0.7986";"additiveScore";"0.6303"
"0.462";"0.7986";"nashbargainScore";"0.3689532"
"0.462";"0.7986";"rksScore";"0.578512396694215"
"0.462";"0.7326";"additiveScore";"0.5973"
"0.462";"0.7326";"nashbargainScore";"0.3384612"
"0.462";"0.7326";"rksScore";"0.6306306306306306"
"0.462";"0.6996";"additiveScore";"0.5808"
"0.462";"0.6996";"nashbargainScore";"0.32321520000000004"
"0.462";"0.6996";"rksScore";"0.6603773584905661"
"0.462";"0.7425";"additiveScore";"0.6022500000000001"
"0.462";"0.7425";"nashbargainScore";"0.34303500000000003"
"0.462";"0.7425";"rksScore";"0.6222222222222222"
"0.462";"0.5511";"additiveScore";"0.5065500000000001"
"0.462";"0.5511";"nashbargainScore";"0.2546082"
"0.462";"0.5511";"rksScore";"0.8383233532934131"
"0.462";"0.6996";"additiveScore";"0.5808"
"0.462";"0.6996";"nashbargainScore";"0.32321520000000004"
"0.462";"0.6996";"rksScore";"0.6603773584905661"
"0.462";"0.5676";"additiveScore";"0.5148"
"0.462";"0.5676";"nashbargainScore";"0.2622312"
"0.462";"0.5676";"rksScore";"0.813953488372093"
"0.462";"0.6369";"additiveScore";"0.54945"
"0.462";"0.6369";"nashbargainScore";"0.2942478"
"0.462";"0.6369";"rksScore";"0.7253886010362695"
"0.462";"0.6864";"additiveScore";"0.5742"
"0.462";"0.6864";"nashbargainScore";"0.31711680000000003"
"0.462";"0.6864";"rksScore";"0.6730769230769231"
"0.462";"0.6864";"additiveScore";"0.5742"
"0.462";"0.6864";"nashbargainScore";"0.31711680000000003"
"0.462";"0.6864";"rksScore";"0.6730769230769231"
"0.462";"0.4818";"additiveScore";"0.4719"
"0.462";"0.4818";"nashbargainScore";"0.2225916"
"0.462";"0.4818";"rksScore";"0.9589041095890412"
"0.462";"0.5214000000000001";"additiveScore";"0.4917"
"0.462";"0.5214000000000001";"nashbargainScore";"0.24088680000000004"
"0.462";"0.5214000000000001";"rksScore";"0.8860759493670886"
"0.462";"0.4884";"additiveScore";"0.4752"
"0.462";"0.4884";"nashbargainScore";"0.2256408"
"0.462";"0.4884";"rksScore";"0.9459459459459459"
"0.462";"0.6138";"additiveScore";"0.5379"
"0.462";"0.6138";"nashbargainScore";"0.28357560000000004"
"0.462";"0.6138";"rksScore";"0.7526881720430108"
"0.462";"0.6369";"additiveScore";"0.54945"
"0.462";"0.6369";"nashbargainScore";"0.2942478"
"0.462";"0.6369";"rksScore";"0.7253886010362695"
"0.462";"0.7029";"additiveScore";"0.58245"
"0.462";"0.7029";"nashbargainScore";"0.3247398"
"0.462";"0.7029";"rksScore";"0.6572769953051644"
"0.462";"0.759";"additiveScore";"0.6105"
"0.462";"0.759";"nashbargainScore";"0.350658"
"0.462";"0.759";"rksScore";"0.6086956521739131"
"0.462";"0.5577000000000001";"additiveScore";"0.50985"
"0.462";"0.5577000000000001";"nashbargainScore";"0.25765740000000004"
"0.462";"0.5577000000000001";"rksScore";"0.8284023668639052"
"0.462";"0.5016";"additiveScore";"0.4818"
"0.462";"0.5016";"nashbargainScore";"0.23173920000000003"
"0.462";"0.5016";"rksScore";"0.9210526315789473"
"0.462";"0.5841000000000001";"additiveScore";"0.52305"
"0.462";"0.5841000000000001";"nashbargainScore";"0.26985420000000004"
"0.462";"0.5841000000000001";"rksScore";"0.7909604519774011"
"0.462";"0.6138";"additiveScore";"0.5379"
"0.462";"0.6138";"nashbargainScore";"0.28357560000000004"
"0.462";"0.6138";"rksScore";"0.7526881720430108"
"0.462";"0.6402";"additiveScore";"0.5511"
"0.462";"0.6402";"nashbargainScore";"0.2957724"
"0.462";"0.6402";"rksScore";"0.7216494845360825"
"0.462";"0.5742";"additiveScore";"0.5181"
"0.462";"0.5742";"nashbargainScore";"0.2652804"
"0.462";"0.5742";"rksScore";"0.8045977011494253"
"0.462";"0.4917";"additiveScore";"0.47685"
"0.462";"0.4917";"nashbargainScore";"0.22716540000000002"
"0.462";"0.4917";"rksScore";"0.9395973154362416"
"0.462";"0.495";"additiveScore";"0.47850000000000004"
"0.462";"0.495";"nashbargainScore";"0.22869"
"0.462";"0.495";"rksScore";"0.9333333333333333"
"0.462";"0.5148";"additiveScore";"0.48840000000000006"
"0.462";"0.5148";"nashbargainScore";"0.23783760000000004"
"0.462";"0.5148";"rksScore";"0.8974358974358975"
"0.462";"0.6501";"additiveScore";"0.55605"
"0.462";"0.6501";"nashbargainScore";"0.3003462"
"0.462";"0.6501";"rksScore";"0.7106598984771574"
"0.462";"0.759";"additiveScore";"0.6105"
"0.462";"0.759";"nashbargainScore";"0.350658"
"0.462";"0.759";"rksScore";"0.6086956521739131"
"0.462";"0.6699";"additiveScore";"0.5659500000000001"
"0.462";"0.6699";"nashbargainScore";"0.30949380000000004"
"0.462";"0.6699";"rksScore";"0.689655172413793"
"0.462";"0.6006";"additiveScore";"0.5313"
"0.462";"0.6006";"nashbargainScore";"0.27747720000000003"
"0.462";"0.6006";"rksScore";"0.7692307692307693"
"0.462";"0.6996";"additiveScore";"0.5808"
"0.462";"0.6996";"nashbargainScore";"0.32321520000000004"
"0.462";"0.6996";"rksScore";"0.6603773584905661"
"0.462";"0.6633";"additiveScore";"0.56265"
"0.462";"0.6633";"nashbargainScore";"0.3064446"
"0.462";"0.6633";"rksScore";"0.6965174129353234"
"0.462";"0.7722";"additiveScore";"0.6171"
"0.462";"0.7722";"nashbargainScore";"0.35675640000000003"
"0.462";"0.7722";"rksScore";"0.5982905982905983"
"0.462";"0.7656000000000001";"additiveScore";"0.6138"
"0.462";"0.7656000000000001";"nashbargainScore";"0.35370720000000005"
"0.462";"0.7656000000000001";"rksScore";"0.603448275862069"
"0.462";"0.7326";"additiveScore";"0.5973"
"0.462";"0.7326";"nashbargainScore";"0.3384612"
"0.462";"0.7326";"rksScore";"0.6306306306306306"
"0.462";"0.4851";"additiveScore";"0.47355"
"0.462";"0.4851";"nashbargainScore";"0.2241162"
"0.462";"0.4851";"rksScore";"0.9523809523809524"
"0.462";"0.759";"additiveScore";"0.6105"
"0.462";"0.759";"nashbargainScore";"0.350658"
"0.462";"0.759";"rksScore";"0.6086956521739131"
"0.462";"0.7755000000000001";"additiveScore";"0.61875"
"0.462";"0.7755000000000001";"nashbargainScore";"0.35828100000000007"
"0.462";"0.7755000000000001";"rksScore";"0.5957446808510638"
"0.462";"0.7029";"additiveScore";"0.58245"
"0.462";"0.7029";"nashbargainScore";"0.3247398"
"0.462";"0.7029";"rksScore";"0.6572769953051644"
"0.462";"0.5214000000000001";"additiveScore";"0.4917"
"0.462";"0.5214000000000001";"nashbargainScore";"0.24088680000000004"
"0.462";"0.5214000000000001";"rksScore";"0.8860759493670886"
"0.462";"0.7061999999999999";"additiveScore";"0.5841"
"0.462";"0.7061999999999999";"nashbargainScore";"0.3262644"
"0.462";"0.7061999999999999";"rksScore";"0.6542056074766356"
"0.462";"0.6369";"additiveScore";"0.54945"
"0.462";"0.6369";"nashbargainScore";"0.2942478"
"0.462";"0.6369";"rksScore";"0.7253886010362695"
"0.5313";"0.5346";"additiveScore";"0.53295"
"0.5313";"0.5346";"nashbargainScore";"0.28403298"
"0.5313";"0.5346";"rksScore";"0.9938271604938272"
"0.5313";"0.3597";"additiveScore";"0.4455"
"0.5313";"0.3597";"nashbargainScore";"0.19110861"
"0.5313";"0.3597";"rksScore";"0.6770186335403727"
"0.5313";"0.6006";"additiveScore";"0.56595"
"0.5313";"0.6006";"nashbargainScore";"0.31909878"
"0.5313";"0.6006";"rksScore";"0.8846153846153846"
"0.5313";"0.396";"additiveScore";"0.46365"
"0.5313";"0.396";"nashbargainScore";"0.21039480000000002"
"0.5313";"0.396";"rksScore";"0.7453416149068324"
"0.5313";"0.3762";"additiveScore";"0.45375"
"0.5313";"0.3762";"nashbargainScore";"0.19987506"
"0.5313";"0.3762";"rksScore";"0.7080745341614907"
"0.5313";"0.3399";"additiveScore";"0.4356"
"0.5313";"0.3399";"nashbargainScore";"0.18058886999999998"
"0.5313";"0.3399";"rksScore";"0.639751552795031"
"0.5313";"0.5907";"additiveScore";"0.5609999999999999"
"0.5313";"0.5907";"nashbargainScore";"0.31383890999999997"
"0.5313";"0.5907";"rksScore";"0.8994413407821229"
"0.5313";"0.6072";"additiveScore";"0.56925"
"0.5313";"0.6072";"nashbargainScore";"0.32260535999999995"
"0.5313";"0.6072";"rksScore";"0.875"
"0.5313";"0.5676";"additiveScore";"0.54945"
"0.5313";"0.5676";"nashbargainScore";"0.30156588"
"0.5313";"0.5676";"rksScore";"0.936046511627907"
"0.5313";"0.5841000000000001";"additiveScore";"0.5577000000000001"
"0.5313";"0.5841000000000001";"nashbargainScore";"0.31033233000000005"
"0.5313";"0.5841000000000001";"rksScore";"0.9096045197740112"
"0.5313";"0.46199999999999997";"additiveScore";"0.49665"
"0.5313";"0.46199999999999997";"nashbargainScore";"0.24546059999999997"
"0.5313";"0.46199999999999997";"rksScore";"0.8695652173913043"
"0.5313";"0.3201";"additiveScore";"0.42569999999999997"
"0.5313";"0.3201";"nashbargainScore";"0.17006912999999999"
"0.5313";"0.3201";"rksScore";"0.6024844720496895"
"0.5313";"0.5808";"additiveScore";"0.5560499999999999"
"0.5313";"0.5808";"nashbargainScore";"0.30857903999999997"
"0.5313";"0.5808";"rksScore";"0.9147727272727273"
"0.5313";"0.46199999999999997";"additiveScore";"0.49665"
"0.5313";"0.46199999999999997";"nashbargainScore";"0.24546059999999997"
"0.5313";"0.46199999999999997";"rksScore";"0.8695652173913043"
"0.5313";"0.4125";"additiveScore";"0.4719"
"0.5313";"0.4125";"nashbargainScore";"0.21916124999999997"
"0.5313";"0.4125";"rksScore";"0.7763975155279502"
"0.5313";"0.3333";"additiveScore";"0.4323"
"0.5313";"0.3333";"nashbargainScore";"0.17708229"
"0.5313";"0.3333";"rksScore";"0.6273291925465838"
"0.5313";"0.4587";"additiveScore";"0.495"
"0.5313";"0.4587";"nashbargainScore";"0.24370730999999998"
"0.5313";"0.4587";"rksScore";"0.8633540372670807"
"0.5313";"0.5478";"additiveScore";"0.53955"
"0.5313";"0.5478";"nashbargainScore";"0.29104613999999995"
"0.5313";"0.5478";"rksScore";"0.9698795180722892"
"0.5313";"0.5643";"additiveScore";"0.5478000000000001"
"0.5313";"0.5643";"nashbargainScore";"0.29981259"
"0.5313";"0.5643";"rksScore";"0.9415204678362573"
"0.5313";"0.4818";"additiveScore";"0.5065500000000001"
"0.5313";"0.4818";"nashbargainScore";"0.25598034"
"0.5313";"0.4818";"rksScore";"0.906832298136646"
"0.5313";"0.6204000000000001";"additiveScore";"0.57585"
"0.5313";"0.6204000000000001";"nashbargainScore";"0.32961852"
"0.5313";"0.6204000000000001";"rksScore";"0.8563829787234042"
"0.5313";"0.47850000000000004";"additiveScore";"0.5049"
"0.5313";"0.47850000000000004";"nashbargainScore";"0.25422705"
"0.5313";"0.47850000000000004";"rksScore";"0.9006211180124224"
"0.5313";"0.3399";"additiveScore";"0.4356"
"0.5313";"0.3399";"nashbargainScore";"0.18058886999999998"
"0.5313";"0.3399";"rksScore";"0.639751552795031"
"0.5313";"0.4884";"additiveScore";"0.50985"
"0.5313";"0.4884";"nashbargainScore";"0.25948692"
"0.5313";"0.4884";"rksScore";"0.9192546583850931"
"0.5313";"0.3135";"additiveScore";"0.4224"
"0.5313";"0.3135";"nashbargainScore";"0.16656255"
"0.5313";"0.3135";"rksScore";"0.5900621118012422"
"0.5313";"0.6006";"additiveScore";"0.56595"
"0.5313";"0.6006";"nashbargainScore";"0.31909878"
"0.5313";"0.6006";"rksScore";"0.8846153846153846"
"0.5313";"0.363";"additiveScore";"0.44715"
"0.5313";"0.363";"nashbargainScore";"0.1928619"
"0.5313";"0.363";"rksScore";"0.6832298136645962"
"0.5313";"0.5577";"additiveScore";"0.5445"
"0.5313";"0.5577";"nashbargainScore";"0.29630601"
"0.5313";"0.5577";"rksScore";"0.9526627218934911"
"0.5313";"0.3366";"additiveScore";"0.43395"
"0.5313";"0.3366";"nashbargainScore";"0.17883558"
"0.5313";"0.3366";"rksScore";"0.6335403726708074"
"0.5313";"0.34319999999999995";"additiveScore";"0.43724999999999997"
"0.5313";"0.34319999999999995";"nashbargainScore";"0.18234215999999998"
"0.5313";"0.34319999999999995";"rksScore";"0.6459627329192545"
"0.5313";"0.4851";"additiveScore";"0.5082"
"0.5313";"0.4851";"nashbargainScore";"0.25773363"
"0.5313";"0.4851";"rksScore";"0.9130434782608695"
"0.5313";"0.3399";"additiveScore";"0.4356"
"0.5313";"0.3399";"nashbargainScore";"0.18058886999999998"
"0.5313";"0.3399";"rksScore";"0.639751552795031"
"0.5313";"0.5577";"additiveScore";"0.5445"
"0.5313";"0.5577";"nashbargainScore";"0.29630601"
"0.5313";"0.5577";"rksScore";"0.9526627218934911"
"0.5313";"0.5676";"additiveScore";"0.54945"
"0.5313";"0.5676";"nashbargainScore";"0.30156588"
"0.5313";"0.5676";"rksScore";"0.936046511627907"
"0.5313";"0.5774999999999999";"additiveScore";"0.5544"
"0.5313";"0.5774999999999999";"nashbargainScore";"0.30682574999999995"
"0.5313";"0.5774999999999999";"rksScore";"0.9200000000000002"
"0.5313";"0.5510999999999999";"additiveScore";"0.5411999999999999"
"0.5313";"0.5510999999999999";"nashbargainScore";"0.29279942999999997"
"0.5313";"0.5510999999999999";"rksScore";"0.9640718562874253"
"0.5313";"0.3795";"additiveScore";"0.4554"
"0.5313";"0.3795";"nashbargainScore";"0.20162835"
"0.5313";"0.3795";"rksScore";"0.7142857142857143"
"0.5313";"0.3795";"additiveScore";"0.4554"
"0.5313";"0.3795";"nashbargainScore";"0.20162835"
"0.5313";"0.3795";"rksScore";"0.7142857142857143"
"0.3861";"0.2574";"additiveScore";"0.32175"
"0.3861";"0.2574";"nashbargainScore";"0.09938214000000001"
"0.3861";"0.2574";"rksScore";"0.6666666666666667"
"0.3861";"0.40260000000000007";"additiveScore";"0.39435000000000003"
"0.3861";"0.40260000000000007";"nashbargainScore";"0.15544386000000002"
"0.3861";"0.40260000000000007";"rksScore";"0.9590163934426228"
"0.3861";"0.33000000000000007";"additiveScore";"0.35805000000000003"
"0.3861";"0.33000000000000007";"nashbargainScore";"0.12741300000000003"
"0.3861";"0.33000000000000007";"rksScore";"0.8547008547008549"
"0.3861";"0.33330000000000004";"additiveScore";"0.3597"
"0.3861";"0.33330000000000004";"nashbargainScore";"0.12868713"
"0.3861";"0.33330000000000004";"rksScore";"0.8632478632478634"
"0.6237";"0.5510999999999999";"additiveScore";"0.5873999999999999"
"0.6237";"0.5510999999999999";"nashbargainScore";"0.34372106999999996"
"0.6237";"0.5510999999999999";"rksScore";"0.8835978835978834"
"0.6237";"0.5775";"additiveScore";"0.6006"
"0.6237";"0.5775";"nashbargainScore";"0.36018675"
"0.6237";"0.5775";"rksScore";"0.9259259259259259"
"0.6237";"0.5709";"additiveScore";"0.5972999999999999"
"0.6237";"0.5709";"nashbargainScore";"0.35607033"
"0.6237";"0.5709";"rksScore";"0.9153439153439152"
"0.6237";"0.6698999999999999";"additiveScore";"0.6468"
"0.6237";"0.6698999999999999";"nashbargainScore";"0.41781662999999997"
"0.6237";"0.6698999999999999";"rksScore";"0.9310344827586208"
"0.6237";"0.4917";"additiveScore";"0.5577000000000001"
"0.6237";"0.4917";"nashbargainScore";"0.30667329000000004"
"0.6237";"0.4917";"rksScore";"0.7883597883597884"
"0.6237";"0.4983";"additiveScore";"0.561"
"0.6237";"0.4983";"nashbargainScore";"0.31078971000000005"
"0.6237";"0.4983";"rksScore";"0.798941798941799"
"0.6237";"0.3795";"additiveScore";"0.5016"
"0.6237";"0.3795";"nashbargainScore";"0.23669415000000002"
"0.6237";"0.3795";"rksScore";"0.6084656084656085"
"0.6237";"0.6138";"additiveScore";"0.61875"
"0.6237";"0.6138";"nashbargainScore";"0.38282706000000005"
"0.6237";"0.6138";"rksScore";"0.9841269841269841"
"0.6237";"0.44880000000000003";"additiveScore";"0.53625"
"0.6237";"0.44880000000000003";"nashbargainScore";"0.27991656000000004"
"0.6237";"0.44880000000000003";"rksScore";"0.7195767195767195"
"0.6237";"0.5478000000000001";"additiveScore";"0.58575"
"0.6237";"0.5478000000000001";"nashbargainScore";"0.34166286000000007"
"0.6237";"0.5478000000000001";"rksScore";"0.8783068783068784"
"0.6237";"0.4224";"additiveScore";"0.52305"
"0.6237";"0.4224";"nashbargainScore";"0.26345088"
"0.6237";"0.4224";"rksScore";"0.6772486772486772"
"0.6237";"0.6072";"additiveScore";"0.61545"
"0.6237";"0.6072";"nashbargainScore";"0.37871064"
"0.6237";"0.6072";"rksScore";"0.9735449735449734"
"0.6237";"0.5147999999999999";"additiveScore";"0.56925"
"0.6237";"0.5147999999999999";"nashbargainScore";"0.32108075999999997"
"0.6237";"0.5147999999999999";"rksScore";"0.8253968253968252"
"0.6237";"0.4158";"additiveScore";"0.51975"
"0.6237";"0.4158";"nashbargainScore";"0.25933446"
"0.6237";"0.4158";"rksScore";"0.6666666666666666"
"0.6237";"0.66";"additiveScore";"0.64185"
"0.6237";"0.66";"nashbargainScore";"0.41164200000000006"
"0.6237";"0.66";"rksScore";"0.945"
"0.6237";"0.5742";"additiveScore";"0.5989500000000001"
"0.6237";"0.5742";"nashbargainScore";"0.35812854000000005"
